Address,City,ZIP Code,Township,Property Class Code,Neighborhood ID,Date Last Transferred,Sidewalks,Total Adj Value,Owner State,Owner ZIP Code
4854 E 71ST ST,INDIANAPOLIS,46220-0000,0008,511,817077170,08/21/2008,N,246400,IN,46220-3888,
6675 N COLLEGE AV,INDIANAPOLIS,46220-0000,0008,550,824272150,06/20/2017,N,140200,IN,46220-1622,
6709 N OAKLAND AV,INDIANAPOLIS,46220-0000,0008,510,801765120,,N,261100,IN,46220-7710,
5667 BROWNSTONE DR,INDIANAPOLIS,46220-0000,0008,550,801972136,12/19/2017,N,131200,IN,46220-5853,
5673 BROWNSTONE DR,INDIANAPOLIS,46220-0000,0008,550,801972136,03/11/2019,N,121200,IN,46220-5853,
5638 N PARKER AV,INDIANAPOLIS,46220-0000,0008,510,802166150,01/10/2017,N,185400,IN,46220-2952,
5150 E 65TH ST,INDIANAPOLIS,46220-0000,0008,345,8350904,,N,633200,IN,46250-0000,
6815 LAKEKNOLL DR,INDIANAPOLIS,46220-0000,0004,510,403782138,,N,145200,IN,46220-4157,
6801 LAKEKNOLL DR,INDIANAPOLIS,46220-0000,0004,510,403782138,,N,165800,IN,46220-4157,
6529 LAKEKNOLL DR,INDIANAPOLIS,46220-0000,0004,510,403782138,07/07/2010,N,170400,IN,46220-0000,
6303 MYRTLE LN,INDIANAPOLIS,46220-0000,0004,510,435082150,11/14/2012,N,324100,IN,46220-0000,
6349 CARDINAL LN,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,249700,IN,46220-5016,
6422 CARDINAL LN,INDIANAPOLIS,46220-0000,0004,510,435082150,12/08/2014,N,267300,IN,46220-5019,
6360 CHERBOURG DR,INDIANAPOLIS,46220-0000,0004,510,404582138,,N,496800,IN,46220-6007,
5960 CALAIS CT,INDIANAPOLIS,46220-0000,0004,510,404582138,06/07/2016,N,495300,IN,46220-6004,
6326 CALAIS DR,INDIANAPOLIS,46220-0000,0004,510,404582138,,N,422500,IN,46220-5088,
6528 CALAIS CI,INDIANAPOLIS,46220-0000,0004,510,404582138,04/05/2017,N,370000,IN,46220-5000,
5694 E FALL CREEK PKWY N DR,INDIANAPOLIS,46220-0000,0004,510,404182174,,N,472700,IN,46226-1000,
6139 KINGSLEY DR,INDIANAPOLIS,46220-0000,0008,510,802181205,09/04/2008,N,191300,IN,46220-2341,
6527 RIVERVIEW DR,INDIANAPOLIS,46220-0000,0008,510,802488202,12/11/2014,N,205100,IN,46220-1627,
6828 GROSVENOR PL,INDIANAPOLIS,46220-0000,0004,510,403382131,02/10/2010,N,228800,IN,46220-0000,
6040 E 65TH PL,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,265900,IN,46220-4173,
7021 GROSVENOR PL,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,343400,IN,46220-4140,
1233 WESTFIELD CT,INDIANAPOLIS,46220-0000,0008,510,802376225,01/18/2010,N,328300,IN,46220-1119,
7056 STEINMEIER DR W,INDIANAPOLIS,46220-0000,0008,510,801180110,01/11/2011,N,191800,IN,46220-0000,
3238 E 71ST ST,INDIANAPOLIS,46220-0000,0008,510,801665125,,N,172600,IN,46220-3710,
6260 GREEN LEAVES RD,INDIANAPOLIS,46220-0000,0008,510,801166130,12/30/2010,N,291700,IN,46220-0000,
5453 ASHURST ST,INDIANAPOLIS,46220-0000,0008,510,801166130,12/24/2008,N,234100,IN,46220-4855,
5358 SHOREWOOD DR,INDIANAPOLIS,46220-0000,0008,500,802069145,05/26/2017,N,28400,IN,46220-3638,
6808 N SHERMAN DR,INDIANAPOLIS,46220-0000,0008,510,801766150,,N,254100,IN,46220-3768,
7055 STEINMEIER DR W,INDIANAPOLIS,46220-0000,0008,510,801180110,08/29/2018,N,218600,IN,46220-3965,
5392 STEINMEIER DR N,INDIANAPOLIS,46220-0000,0008,510,801180110,12/16/2014,N,173500,IN,46220-3966,
6636 CREEKSIDE LN,INDIANAPOLIS,46220-0000,0004,510,403582135,,N,284200,IN,46220-4335,
6322 LANDS END LN,INDIANAPOLIS,46220-0000,0004,510,403582135,08/08/2012,N,331600,IN,46220-0000,
6619 EDEN ROC CREST,INDIANAPOLIS,46220-0000,0004,510,403582135,09/17/2013,N,392500,IN,46220-4342,
6303 EVANSTON AV,INDIANAPOLIS,46220-0000,0008,500,802274155,09/16/2015,N,10900,IN,46220-2113,
6240 MC KINLEY CT,INDIANAPOLIS,46220-0000,0008,510,802274155,05/05/2017,N,181300,IN,46220-2162,
6300 N KEYSTONE AV,INDIANAPOLIS,46220-0000,0008,510,802274155,09/21/2018,N,169200,IN,46220-2157,
6308 DOUGLAS RD,INDIANAPOLIS,46220-0000,0008,510,802274155,,N,115200,IN,46220-2153,
6311 MAPLE DR,INDIANAPOLIS,46220-0000,0008,510,802274155,05/21/2018,N,179000,IN,46220-2118,
2241 PAMELA DR,INDIANAPOLIS,46220-0000,0008,510,802274155,,N,160700,IN,46220-2163,
2230 DOUGLAS RD,INDIANAPOLIS,46220-0000,0008,510,802274155,,N,169700,IN,46220-2147,
5388 PRIMROSE AV,INDIANAPOLIS,46220-0000,0008,510,802079190,04/18/2018,N,190200,IN,46220-3317,
5347 PRIMROSE AV,INDIANAPOLIS,46220-0000,0008,510,802079190,11/18/2009,N,144200,IN,46220-0000,
5271 PRIMROSE AV,INDIANAPOLIS,46220-0000,0008,510,802079190,,N,168200,IN,46220-3314,
